,Zeit,Temperatur,Druck,Luftfeuchtigkeit
0,2020/02/29 - 08:59:30,20.8,991.0,33.9
1,2020/02/29 - 08:59:35,20.9,991.0,33.4
2,2020/02/29 - 08:59:40,20.9,991.0,33.5
3,2020/02/29 - 08:59:45,21.0,991.0,33.1
4,2020/02/29 - 08:59:50,21.0,991.0,32.9
5,2020/02/29 - 08:59:55,21.0,991.0,32.6
6,2020/02/29 - 09:00:00,21.1,991.0,32.8
7,2020/02/29 - 09:00:05,21.1,991.0,32.6
8,2020/02/29 - 09:00:10,21.1,991.0,32.6
9,2020/02/29 - 09:00:15,21.1,991.0,32.2
10,2020/02/29 - 09:00:20,21.1,991.0,32.3
11,2020/02/29 - 09:00:25,21.1,991.0,32.4
12,2020/02/29 - 09:00:30,21.1,991.0,32.9
13,2020/02/29 - 09:00:35,21.1,991.0,32.3
14,2020/02/29 - 09:00:40,21.2,991.0,32.5
15,2020/02/29 - 09:00:45,21.2,991.0,32.2
16,2020/02/29 - 09:00:50,21.2,991.0,32.2
17,2020/02/29 - 09:00:55,21.2,991.0,32.3
18,2020/02/29 - 09:01:00,21.2,991.0,32.0
19,2020/02/29 - 09:01:05,21.2,991.0,32.0
20,2020/02/29 - 09:01:10,21.2,991.0,32.0
21,2020/02/29 - 09:01:15,21.2,991.0,32.1
22,2020/02/29 - 09:01:20,21.2,991.0,32.4
23,2020/02/29 - 09:01:25,21.1,991.0,32.3
24,2020/02/29 - 09:01:30,21.1,991.0,33.3
25,2020/02/29 - 09:01:35,21.1,991.0,33.3
26,2020/02/29 - 09:01:40,21.1,991.0,33.2
27,2020/02/29 - 09:01:45,21.1,991.0,32.8
28,2020/02/29 - 09:01:50,21.1,991.0,32.7
29,2020/02/29 - 09:01:55,21.1,991.0,32.5
30,2020/02/29 - 09:02:00,21.0,991.0,32.3
31,2020/02/29 - 09:02:05,21.0,991.0,32.6
32,2020/02/29 - 09:02:10,20.9,991.0,32.4
33,2020/02/29 - 09:02:15,21.0,991.0,32.3
34,2020/02/29 - 09:02:20,21.0,991.0,32.4
35,2020/02/29 - 09:02:25,21.1,991.0,32.4
36,2020/02/29 - 09:02:30,21.1,991.0,32.2
37,2020/02/29 - 09:02:35,21.1,991.0,32.2
38,2020/02/29 - 09:02:40,21.1,991.0,32.4
39,2020/02/29 - 09:02:45,21.2,991.0,32.4
40,2020/02/29 - 09:02:50,21.2,991.0,32.2
41,2020/02/29 - 09:02:55,21.2,991.0,32.2
42,2020/02/29 - 09:03:00,21.1,991.0,32.0
43,2020/02/29 - 09:03:05,21.1,991.0,32.1
44,2020/02/29 - 09:03:10,21.2,991.0,32.1
